gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
4660,3768.1,3841.6,2416.86,2408.61,3,2,50,22,18,13,32,51,175,1199,229,-1
4661,3768.1,3841.6,2418.44,2395.39,2,2,20,20,19,13,0,34,112,354,49,-1
4662,3768.1,3841.6,2420.08,2394.33,2,2,20,24,19,14,4,42,64,601,182,-1
4663,3485.5,3841.6,2435.4,2399.15,2,2,50,36,25,15,46,75,211,1732,210,-1
4664,3485.5,3841.6,2447.89,2407.18,2,2,21,21,25,14,2,39,43,845,120,-1
4665,3298.3,3841.6,2446.9,2403.38,2,2,20,20,25,13,0,35,82,801,118,-1
4666,3298.2,3841.6,2448.27,2406.95,2,2,21,23,25,13,4,41,140,626,118,-1
4667,3298.2,3841.6,2441.0,2418.07,2,2,24,21,25,15,5,40,143,853,140,-1
4668,3298.2,3841.6,2467.16,2417.9,2,2,34,20,25,15,14,45,80,1170,148,-1
4669,3298.2,4123.8,2459.46,2446.49,2,3,22,50,25,12,32,51,220,1647,255,-1
4670,3604.7,6719.9,2461.22,2454.61,3,3,26,50,25,1,36,63,631,3026,594,-1
4671,3604.7,6719.9,2470.62,2461.15,3,2,50,50,25,1,60,83,549,2422,450,-1
4672,3977.8,6719.9,2471.77,2464.88,3,2,50,41,13,1,51,76,985,2749,739,-1
4673,3977.8,6719.9,2482.65,2481.65,2,2,23,22,14,1,5,44,234,1471,294,-1
4674,3977.8,6719.9,2487.79,2490.55,2,2,24,24,18,1,8,45,87,1239,171,-1
4675,4001.8,6719.9,2501.99,2497.41,3,2,20,21,19,1,1,38,44,932,96,-1
4676,4001.8,6719.9,2471.69,2501.44,2,2,20,22,15,1,2,27,31,923,63,-1
4677,3977.8,6719.9,2471.11,2491.29,2,2,20,20,15,1,0,34,45,754,200,-1
4678,3977.8,6719.9,2491.96,2488.91,2,2,50,22,16,1,32,62,209,1707,264,-1
4679,3977.8,6719.9,2490.78,2490.64,2,2,20,20,15,1,0,38,86,707,113,-1
4680,3977.8,6719.9,2483.82,2495.6,2,2,21,28,15,1,9,43,82,841,58,-1
4681,3977.8,6719.9,2477.08,2464.93,2,2,20,20,15,1,0,28,7,630,182,-1
4682,3977.8,6719.9,2459.06,2467.42,2,2,20,21,15,1,1,37,54,794,238,-1
4683,3977.8,6719.9,2451.53,2472.37,2,3,25,50,14,1,35,57,306,1611,306,-1
4684,3977.8,6719.9,2447.35,2475.18,2,2,23,26,11,1,9,43,77,851,151,-1
4685,3977.8,4123.8,2451.61,2460.57,3,2,26,26,11,9,12,49,192,797,155,-1
4686,3977.8,4123.8,2457.27,2461.29,2,2,23,50,13,10,33,65,139,1378,167,-1
4687,3977.8,4123.8,2451.4,2454.71,2,2,20,20,12,8,0,39,134,624,294,-1
4688,3977.8,3862.6,2460.24,2450.19,2,2,20,20,11,25,0,34,54,506,132,-1
4689,3977.8,3862.6,2446.93,2452.9,2,2,20,21,9,25,1,35,185,580,91,-1
4690,3977.8,3862.6,2448.42,2447.12,2,2,20,24,11,25,4,39,342,1132,197,-1
4691,3977.8,3862.6,2450.31,2443.58,2,2,50,27,14,25,37,45,156,1506,242,-1
4692,3977.8,3862.6,2446.44,2454.72,2,2,24,22,15,25,6,41,139,1028,154,-1
4693,3977.8,3862.6,2451.41,2454.55,2,2,23,23,17,25,6,42,202,822,143,-1
4694,3977.8,3862.6,2448.4,2453.91,2,3,50,50,17,25,60,77,328,1331,293,-1
4695,3977.8,3862.6,2455.5,2446.49,2,2,20,21,19,24,1,36,186,1004,116,-1
4696,3977.8,3862.6,2450.64,2438.22,2,2,20,20,21,22,0,33,68,717,119,-1
4697,4100.8,3862.6,2456.48,2449.09,3,2,50,50,17,23,60,68,529,1885,379,-1
4698,4100.8,3862.6,2444.2,2447.71,3,2,50,26,15,21,36,52,182,809,284,-1
4699,4100.8,3862.6,2433.63,2436.34,3,3,22,25,15,21,7,40,217,550,125,-1
4700,4100.8,3862.6,2432.57,2425.23,2,2,20,20,14,20,0,36,88,600,59,-1
4701,3977.8,3414.2,2430.83,2419.12,2,2,20,20,16,25,0,36,101,335,51,-1
4702,3977.8,3414.2,2413.31,2410.25,2,2,23,21,16,25,4,41,461,949,447,-1
4703,3977.8,3414.2,2412.56,2395.12,2,2,23,21,14,25,4,34,142,745,181,-1
4704,3977.8,3414.2,2416.55,2405.66,2,2,21,25,14,25,6,42,168,650,179,-1
4705,3977.8,3414.2,2432.54,2394.7,3,2,22,30,18,25,12,44,508,769,180,-1
4706,3977.8,3414.2,2424.91,2389.93,2,2,20,23,18,25,3,38,214,583,257,-1
