gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
891,3836.4,4081.5,574.37,573.08,3,3,50,50,10,10,-1
892,4702.6,4081.6,674.62,555.77,4,3,50,50,4,7,-1
893,4276.3,4000.7,558.45,464.82,4,4,50,50,7,4,-1
894,4687.3,4104.2,597.27,568.07,4,4,50,50,6,9,-1
895,3801.3,3416.5,552.8,503.22,3,3,50,50,9,7,-1
896,3741.9,3402.5,528.0,441.84,3,3,50,50,8,2,-1
897,4578.9,4227.6,588.83,594.07,3,3,50,50,7,9,-1
898,4151.5,4674.6,541.77,588.59,3,3,50,50,6,4,-1
899,4015.9,3830.0,596.07,642.09,3,3,50,50,10,10,-1
900,5351.2,4678.7,690.48,601.05,4,4,50,50,4,7,-1
901,4580.5,4198.8,628.81,566.53,3,3,50,50,8,8,-1
902,3831.4,4126.6,565.16,591.48,4,4,50,50,10,10,-1
903,4822.1,4676.3,654.09,605.78,3,3,50,50,5,5,-1
904,5801.4,5262.8,711.24,652.9,4,4,50,50,2,6,-1
905,5584.2,5625.4,703.28,717.15,4,4,50,50,4,5,-1
906,4729.5,4171.7,657.58,532.52,4,4,50,50,9,8,-1
907,4772.9,4713.2,665.37,699.14,4,4,50,50,9,10,-1
908,4626.0,4787.5,668.49,556.22,4,4,50,50,9,3,-1
909,4343.2,4712.6,661.19,582.78,4,4,50,50,10,5,-1
910,4846.0,4459.1,636.9,598.8,4,4,50,50,6,7,-1
911,5517.1,4914.0,795.25,645.25,4,4,50,50,8,6,-1
912,3725.5,3829.1,536.5,595.29,4,3,50,50,7,10,-1
913,5139.1,5310.9,617.37,651.76,4,4,50,50,4,4,-1
914,5343.3,4495.4,738.33,566.63,4,4,50,50,3,5,-1
915,4447.8,3832.9,594.52,506.63,4,4,50,50,5,7,-1
916,4764.5,4671.6,696.95,758.51,4,4,50,50,8,10,-1
917,4738.5,4348.5,676.59,591.5,4,4,50,50,7,8,-1
918,4564.4,5033.5,641.0,572.09,4,4,50,50,7,3,-1
919,4083.0,5014.1,580.57,568.06,4,4,50,50,9,5,-1
920,4378.3,4040.1,548.97,541.46,3,3,50,50,5,9,-1
921,5510.3,4733.8,718.02,573.53,4,4,50,50,2,5,-1
922,5464.0,5108.3,760.16,639.33,4,4,50,50,7,3,-1
923,4640.8,4628.7,637.28,591.99,4,3,50,50,7,4,-1
924,4814.1,4622.9,644.36,673.29,4,4,50,50,6,6,-1
925,5122.7,4939.1,654.61,673.41,4,4,50,50,3,7,-1
926,4487.5,4088.1,605.55,536.61,4,4,50,50,9,6,-1
927,3909.0,4469.9,606.8,611.4,3,3,50,50,10,5,-1
928,4730.6,5031.0,655.99,625.88,4,4,50,50,7,3,-1
929,4694.4,4620.9,692.47,651.42,4,4,50,50,9,7,-1
930,4404.4,4673.8,618.69,616.49,4,4,50,50,10,7,-1
931,3864.9,4558.3,569.7,627.02,4,4,50,50,9,8,-1
932,4262.6,4051.6,617.87,603.8,4,4,50,50,10,10,-1
933,5527.7,5004.5,736.6,685.13,4,4,50,50,3,5,-1
934,4321.5,3695.1,557.88,552.62,4,4,50,50,8,9,-1
935,4614.0,4610.9,633.6,586.7,4,4,50,50,6,3,-1
936,4930.8,4511.1,685.81,614.32,4,4,50,50,7,9,-1
