gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
322,4906.2,5269.2,3233.17,3784.35,3,4,-1
323,5400.9,5339.1,3859.23,3591.28,3,3,-1
324,5294.2,5082.6,3708.64,3954.74,3,3,-1
325,4327.9,4813.2,3300.99,3325.88,3,3,-1
326,5887.0,6021.6,4000.44,4275.02,4,3,-1
327,5515.1,5300.9,3760.42,3968.75,4,3,-1
328,4346.9,4515.0,3313.48,3182.92,3,3,-1
329,4092.4,4601.0,2937.53,3195.12,3,3,-1
330,4662.4,4988.8,3584.1,3471.48,3,3,-1
331,4959.8,5752.6,3740.09,3899.22,3,3,-1
332,5511.2,5716.2,4147.37,4105.17,3,3,-1
333,5372.5,5621.8,4084.71,3897.69,3,3,-1
334,5607.0,6261.3,4064.93,4243.45,3,3,-1
335,3766.9,4047.7,3034.01,3227.51,3,3,-1
336,4373.1,5366.1,3134.63,3627.37,3,3,-1
337,4246.5,4542.8,3278.22,3271.68,3,3,-1
338,4033.1,4416.2,3166.95,3295.54,3,3,-1
339,4346.5,4738.8,3352.37,3423.52,3,3,-1
340,4833.6,4211.8,3228.07,3174.07,3,3,-1
341,5192.3,4661.4,3789.3,3799.74,3,3,-1
342,5048.3,5458.8,3920.81,3830.11,3,4,-1
343,5763.2,4804.4,4134.75,3693.7,4,3,-1
344,5317.6,5306.9,3768.59,4062.93,3,3,-1
345,5547.3,5736.5,4417.09,4284.36,3,4,-1
346,5462.5,5156.2,4002.95,3782.85,3,3,-1
347,5942.2,6317.1,4065.89,4088.4,4,4,-1
348,5402.2,5457.3,3793.49,3954.1,4,3,-1
349,4945.6,5315.9,3618.86,3858.22,4,4,-1
350,5187.4,4990.4,3750.77,3742.23,3,3,-1
351,4304.4,4605.0,3175.95,3330.36,3,3,-1
352,4520.7,4935.0,3117.21,3323.38,4,4,-1
353,5086.2,4664.7,3434.42,3445.7,3,3,-1
354,4913.3,4216.2,2848.96,3165.08,4,3,-1
355,4297.1,4726.8,3032.19,3319.82,3,3,-1
356,3951.9,3740.3,2968.26,2747.24,3,3,-1
357,5564.2,6027.7,3887.19,4013.19,4,3,-1
358,4025.3,3824.0,3016.87,2796.91,3,3,-1
359,4573.6,4702.9,3581.61,3291.41,3,3,-1
360,4151.9,4017.3,3165.42,3196.16,3,3,-1
361,4538.3,4362.8,2918.82,3201.28,3,3,-1
362,5447.4,5516.4,3776.14,3563.89,3,3,-1
363,4712.6,5119.7,3509.41,3298.87,3,3,-1
364,4705.2,5196.7,3622.74,3242.59,3,4,-1
365,5679.4,5252.0,4060.41,3831.02,4,3,-1
366,5011.7,5357.1,3771.62,3678.57,3,3,-1
367,5267.5,5049.5,3659.46,3472.86,3,3,-1
368,3686.9,3640.5,2665.55,2508.64,3,3,-1
369,4241.8,4084.8,3049.76,2870.29,3,3,-1
370,4185.3,3701.4,2901.73,2757.7,3,3,-1
371,4295.3,3955.9,3122.98,2709.79,3,3,-1
372,4833.2,4039.5,3439.76,2989.83,3,3,-1
373,3455.5,3865.0,2513.86,2732.96,3,3,-1
374,4122.3,4107.7,2994.85,2769.14,3,3,-1
375,6001.8,5341.7,3939.57,3898.21,4,3,-1
376,4186.7,4343.2,3042.49,2916.54,3,3,-1
377,5401.0,5578.9,3208.49,3754.24,3,3,-1
378,4779.7,4908.8,3210.73,3241.34,3,3,-1
379,3940.4,4010.0,2940.02,2747.89,3,3,-1
380,4811.7,4050.3,3525.26,2858.7,3,3,-1
381,4679.5,5215.6,3194.86,3237.0,3,4,-1
382,4185.0,4163.4,2780.51,3160.73,3,3,-1
383,4921.2,4692.8,3731.05,3278.27,3,3,-1
384,4343.1,4013.8,3081.85,2844.83,3,3,-1
385,3940.0,4621.1,2980.56,2978.82,3,4,-1
386,4246.3,4819.0,3159.51,3188.02,3,4,-1
387,5631.3,5514.0,3878.69,3312.32,4,3,-1
388,4430.1,4925.2,3278.26,3282.1,3,3,-1
389,5822.0,5522.0,4035.23,4072.75,3,3,-1
390,3777.4,3833.6,2712.36,2661.69,3,3,-1
391,5652.5,5290.8,4008.14,3783.05,3,3,-1
392,5749.8,5496.4,4132.68,3849.89,3,4,-1
393,4412.7,4368.9,3116.73,3125.58,3,3,-1
394,3992.3,3910.2,2776.48,2888.84,3,3,-1
395,3726.1,3856.4,2680.92,2802.26,3,3,-1
396,4748.1,5137.3,3320.64,3170.35,3,3,-1
397,5149.2,4841.5,3417.49,3186.73,3,3,-1
398,3630.7,3592.3,2483.56,2635.48,3,3,-1
399,3538.0,3866.7,2309.98,2827.47,3,3,-1
400,5741.6,6846.6,3796.95,4230.04,4,4,-1
401,5255.2,4005.8,3035.51,2798.5,4,3,-1
402,4416.3,4769.8,3269.72,3002.11,3,3,-1
403,4772.0,5099.8,3573.26,3231.4,3,3,-1
404,4737.1,5017.2,3537.8,3452.02,3,3,-1
405,4725.5,4845.9,3542.64,3456.77,3,3,-1
406,4039.1,4177.4,3097.63,3292.85,3,3,-1
407,5419.9,5944.6,3969.59,3916.76,3,3,-1
408,3993.4,3918.6,2965.05,2744.8,3,3,-1
409,5182.1,4868.8,3871.26,3614.55,3,3,-1
410,5597.2,5172.0,4056.2,3962.94,3,3,-1
411,6339.1,6242.2,4178.8,4324.36,4,4,-1
412,5379.3,5758.9,3270.26,3698.05,4,4,-1
413,3920.0,4151.3,3116.01,3164.89,3,3,-1
414,3949.3,4751.5,2834.7,3242.82,3,3,-1
415,5055.8,5475.6,3324.35,3592.5,3,3,-1
416,5581.2,6927.6,3969.1,4707.56,3,3,-1
417,5164.5,5986.3,3383.69,3781.09,3,3,-1
418,3996.5,4808.8,3095.18,3274.72,3,3,-1
419,5011.6,5557.0,3303.88,3950.6,3,3,-1
420,5723.4,5452.1,3842.64,3663.42,4,3,-1
421,4018.0,4249.6,3161.12,3063.12,3,3,-1
422,5332.6,5392.1,3740.89,3476.77,4,3,-1
423,4933.0,4811.6,3460.06,3268.51,4,3,-1
424,4003.9,4242.9,2934.74,2746.01,3,3,-1
425,4288.9,5122.1,3354.79,2873.95,3,3,-1
426,4570.6,4744.8,3257.82,3176.88,3,3,-1
427,4632.5,4614.1,3453.7,3399.23,3,3,-1
428,5106.3,5787.0,4210.9,3762.79,3,3,-1
429,4627.3,5373.0,3541.94,3294.73,3,3,-1
430,3906.9,4260.0,2957.88,3096.55,3,3,-1
431,4466.5,5037.6,3275.7,3149.81,3,3,-1
432,4892.3,5703.2,3187.86,3673.61,3,3,-1
433,5059.7,5499.4,3851.8,3674.68,3,3,-1
434,4320.5,4983.3,3384.11,3368.53,3,3,-1
435,4201.6,4221.6,2880.23,3015.52,3,3,-1
436,4495.6,4998.8,3398.05,3342.07,3,3,-1
437,3697.6,4106.6,2788.36,2885.38,3,3,-1
438,4231.9,3949.4,3075.16,2547.57,3,3,-1
439,5171.2,6106.9,3883.82,3854.02,3,3,-1
440,3824.9,4004.2,2848.72,2909.78,3,3,-1
441,4566.3,4539.0,3060.95,2824.53,3,3,-1
442,4697.9,5733.5,3452.73,3554.49,3,3,-1
443,5607.5,5955.9,3896.36,4164.31,4,4,-1
444,5302.6,5187.0,4319.88,3259.14,3,3,-1
445,4353.4,4200.2,3080.7,2856.73,3,3,-1
446,4436.0,4969.3,3298.21,2925.41,3,3,-1
447,5265.8,4960.9,3850.03,3292.46,3,3,-1
448,5667.6,6887.5,3982.0,4205.57,3,3,-1
449,4689.1,4962.2,3704.57,3453.6,3,3,-1
450,4898.5,4637.4,3546.47,3199.7,4,3,-1
451,5432.6,6531.9,4013.44,4445.59,3,4,-1
452,4802.0,5171.6,3495.88,3462.71,3,3,-1
453,4229.7,4288.3,3054.97,3120.14,3,4,-1
454,4185.9,4625.8,3205.66,3270.54,3,3,-1
455,5032.2,5485.4,3738.48,3721.14,3,3,-1
456,4681.9,5020.8,3372.73,3270.77,3,3,-1
457,4279.0,3983.9,3153.24,2753.92,3,3,-1
458,4916.2,4598.9,3591.35,3370.93,3,3,-1
459,5126.6,5062.6,4046.66,3652.53,3,3,-1
460,4276.5,5143.6,3595.16,3347.85,3,3,-1
461,6662.2,6887.4,4279.37,4470.61,4,4,-1
462,4627.3,4238.2,3077.61,3080.72,3,3,-1
463,5541.5,5416.5,3738.83,3768.26,3,3,-1
464,6122.5,6902.5,4206.84,4396.04,4,4,-1
465,4832.0,4441.8,3481.04,3254.57,3,3,-1
466,5438.3,5406.5,3890.57,3710.51,3,3,-1
467,4744.8,5310.4,3600.67,3715.33,3,4,-1
468,5345.3,5481.5,3748.77,3655.74,3,3,-1
469,5682.3,5862.1,3973.0,4087.55,3,3,-1
470,5997.4,7382.3,4116.41,4898.33,3,3,-1
471,5181.1,4521.3,3615.28,3350.29,4,3,-1
472,5184.4,5132.0,3774.33,3643.88,3,3,-1
473,5097.4,5181.8,3527.62,3681.02,4,3,-1
474,3882.3,4009.4,3175.87,3202.94,3,3,-1
475,5042.0,6207.1,3842.92,3830.24,3,3,-1
